,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Texts,ADA,1,0.6630952380952381,0.7380952380952381,0.6876190476190476,0.6880952380952381,0.716609977324263,23,20,11,8,"[0 0 1 0 0 1 0 1 1 0 1 1 0 1 1 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 1 0 0 1
 0 0 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 1 1 1 1 1 0 1]",361128390,"(68, 11)"
1,Texts,ADA,2,0.5574242424242424,0.5380952380952381,0.5261183261183261,0.530952380952381,0.4985260770975057,17,16,15,14,"[1 1 1 1 0 1 1 0 0 1 1 1 1 1 0 1 1 1 0 0 1 1 0 0 1 0 1 1 1 0 1 0 1 1 1 0 0
 0 0 0 0 0 1 0 0 1 0 1 0 1 0 1 0 0 1 1 0 0 0 1 0 0]",361128390,"(68, 11)"
2,Texts,ADA,3,0.5142857142857142,0.5809523809523809,0.5451282051282051,0.5166666666666667,0.5814625850340136,18,14,17,13,"[1 1 1 0 0 1 1 1 0 0 1 1 1 1 0 1 0 1 0 1 0 0 0 0 1 1 1 0 0 0 1 0 1 1 1 1 0
 0 1 0 1 0 0 0 1 1 1 1 0 0 1 1 1 0 1 1 1 1 0 0 0 1]",361128390,"(68, 11)"
3,Texts,ADA,4,0.5083333333333333,0.5142857142857142,0.4966544566544566,0.48333333333333334,0.44501133786848074,16,14,17,15,"[1 1 1 1 0 0 0 1 0 1 1 0 1 1 0 1 1 0 0 1 1 1 0 1 0 0 0 1 0 1 0 1 1 0 1 1 0
 0 1 0 1 1 0 1 1 0 1 1 1 0 1 0 0 1 0 0 0 1 0 0 1 0]",361128390,"(68, 11)"
4,Texts,ADA,5,0.6861904761904762,0.6761904761904762,0.6629148629148629,0.6761904761904762,0.6299319727891156,21,21,10,10,"[1 1 0 0 1 1 0 0 1 0 1 0 1 1 0 1 1 1 1 0 1 0 0 0 1 1 1 1 0 1 0 0 0 0 0 0 1
 1 0 0 1 0 0 0 0 0 0 1 1 0 0 1 1 0 1 1 1 0 1 0 1 1]",361128390,"(68, 11)"
5,Texts,ADA,6,0.5466666666666666,0.4857142857142857,0.5117016317016316,0.55,0.5909297052154195,15,19,12,16,"[0 1 1 0 0 1 1 1 0 0 0 1 0 1 1 0 1 0 1 1 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 1 1
 0 0 0 1 0 1 0 0 1 0 1 0 1 0 0 1 0 1 1 0 0 0 1 1 0]",361128390,"(68, 11)"
6,Texts,ADA,7,0.5678571428571428,0.6523809523809524,0.6032967032967033,0.5833333333333334,0.5335600907029479,20,16,15,11,"[0 0 0 0 0 1 0 1 1 0 1 1 1 1 0 0 1 0 1 1 0 0 0 1 0 0 1 1 1 1 0 0 1 1 0 1 0
 1 0 1 1 1 1 1 0 0 1 0 1 1 1 1 1 0 0 0 1 1 1 1 0 1]",361128390,"(68, 11)"
7,Texts,ADA,8,0.46095238095238095,0.5238095238095238,0.4741880341880342,0.4857142857142857,0.49421768707483,16,14,17,15,"[0 1 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 1 0 0 0 1 1 1 0 1 0 0 1 1 1 1 1 1
 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 0 1 1 1 0 1 1 0 1]",361128390,"(68, 11)"
8,Texts,ADA,9,0.5542857142857143,0.5809523809523809,0.5622111222111221,0.55,0.5522675736961451,18,16,15,13,"[1 1 1 1 1 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 1 0 1 1 1 1 1 0 0 1 0 1 1 1 1 0
 0 1 1 1 0 0 1 1 0 1 0 1 0 0 0 1 1 1 0 1 1 0 0 0 1]",361128390,"(68, 11)"
9,Texts,ADA,1,0.6603968253968254,0.6761904761904762,0.6563886113886114,0.6476190476190476,0.6509637188208617,21,19,12,10,"[1 0 1 0 1 1 0 1 0 1 1 1 1 0 0 0 0 0 0 1 1 0 0 1 0 0 1 1 1 1 1 1 0 1 1 0 1
 0 0 1 1 0 1 1 0 1 1 1 0 1 0 0 0 0 0 1 1 1 1 0 0 0]",25678624,"(68, 11)"
