,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Texts,LR,1,0.6587301587301587,0.5571428571428572,0.5624708624708624,0.6,0.680952380952381,17,20,11,14,"[0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 1 1 1 0 1 1 1 1 0 1 0 1 0 0 0 0 0 1 0 0 0
 0 1 0 0 1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 1]",361128390,"(68, 11)"
1,Texts,LR,2,0.6857142857142857,0.5809523809523809,0.5976068376068375,0.6285714285714286,0.6791383219954649,18,21,10,13,"[0 0 1 0 0 1 1 1 0 0 1 1 0 1 0 1 1 0 1 0 1 1 1 1 1 0 0 0 0 1 1 0 1 0 1 0 0
 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 1 1 0 0 1 1 1 0 0]",361128390,"(68, 11)"
2,Texts,LR,3,0.650952380952381,0.5809523809523809,0.6085780885780885,0.6285714285714286,0.6368480725623583,18,21,10,13,"[1 0 0 1 0 0 0 1 0 0 1 1 0 1 0 0 1 1 0 1 1 1 0 1 1 0 1 1 0 0 0 0 0 1 0 1 0
 0 1 0 0 0 0 0 1 1 0 0 1 1 0 1 1 0 1 0 1 0 0 1 0 1]",361128390,"(68, 11)"
3,Texts,LR,4,0.6083333333333333,0.5428571428571428,0.5684848484848485,0.5952380952380952,0.6636054421768708,17,20,11,14,"[0 0 1 1 1 1 0 1 1 1 0 0 0 0 0 1 1 1 0 1 0 1 1 0 1 0 1 1 0 1 0 0 1 0 0 1 0
 0 0 1 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 1 0 1 1 0 0 1]",361128390,"(68, 11)"
4,Texts,LR,5,0.5926190476190476,0.5523809523809524,0.5548229548229549,0.580952380952381,0.6413832199546485,17,19,12,14,"[0 0 1 0 1 0 0 0 1 1 0 0 1 0 0 1 1 1 0 1 1 0 1 1 1 0 0 1 0 0 0 0 0 1 0 0 0
 1 1 0 0 1 0 1 1 1 1 0 1 1 0 0 0 0 1 0 0 1 0 1 1 1]",361128390,"(68, 11)"
5,Texts,LR,6,0.6342857142857143,0.5476190476190476,0.5796425796425796,0.6261904761904762,0.6265306122448979,17,22,9,14,"[1 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 1 1 1 1 0 0 0
 0 1 1 1 0 1 1 1 0 0 1 1 0 0 0 1 0 1 0 1 1 0 1 0 0]",361128390,"(68, 11)"
6,Texts,LR,7,0.6116666666666667,0.5428571428571428,0.5590909090909091,0.611904761904762,0.6469387755102041,17,21,10,14,"[0 1 0 1 1 1 0 0 1 1 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1
 1 1 1 0 1 1 1 0 1 0 0 0 0 0 1 0 1 1 0 1 0 1 0 0 1]",361128390,"(68, 11)"
7,Texts,LR,8,0.6742857142857143,0.5809523809523809,0.6151981351981352,0.6333333333333333,0.6131519274376417,18,21,10,13,"[0 1 1 0 1 1 0 0 0 0 1 1 1 0 1 1 1 0 0 0 1 0 1 1 1 0 0 0 0 0 1 1 1 0 0 0 0
 0 1 0 0 0 0 1 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1]",361128390,"(68, 11)"
8,Texts,LR,9,0.6428571428571429,0.580952380952381,0.5938461538461538,0.6,0.621655328798186,18,19,12,13,"[1 1 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 1 1 0 0 1 0 0 0 0 1 1 1 1 1 0 1 1
 1 0 0 1 0 1 1 0 1 1 0 0 0 1 1 0 1 1 1 1 0 0 0 0 0]",361128390,"(68, 11)"
9,Texts,LR,1,0.6285714285714286,0.5476190476190476,0.5773626373626374,0.5976190476190476,0.6817460317460318,17,20,11,14,"[0 0 1 1 1 0 1 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 0 1 1 1 0 0 0
 0 1 1 0 1 0 1 1 1 1 0 1 0 1 0 1 0 0 1 0 0 1 0 0 0]",25678624,"(68, 11)"
