,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Texts,LR,1,0.6621428571428571,0.5809523809523809,0.6043956043956044,0.6071428571428571,0.6632653061224489,18,20,11,13,"[0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 1 0 1 0 1 0 0 0 1 0 1 1 0 1 1 0 0 1 0 1 1 1
 0 1 0 0 1 1 0 0 0 0 1 0 0 1 0 1 0 1 1 1 1 1 1 0 1]",361128390,"(68, 11)"
1,Texts,LR,2,0.5906060606060606,0.5333333333333333,0.5316161616161617,0.5928571428571429,0.6077097505668935,17,20,11,14,"[1 0 1 1 1 0 1 1 0 1 1 1 1 0 0 1 0 1 0 1 1 1 0 0 1 0 0 1 1 0 1 0 0 1 1 0 0
 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 1 0 0 0]",361128390,"(68, 11)"
2,Texts,LR,3,0.6476190476190476,0.5476190476190476,0.5604395604395604,0.5785714285714286,0.6124716553287982,17,19,12,14,"[1 0 1 1 1 0 0 1 1 0 1 0 0 0 0 1 0 1 0 1 0 0 1 0 1 1 0 1 1 1 0 0 1 0 1 0 1
 1 1 1 0 0 1 1 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0]",361128390,"(68, 11)"
3,Texts,LR,4,0.6688888888888889,0.5476190476190476,0.5945454545454545,0.6190476190476191,0.6312925170068028,17,21,10,14,"[1 0 1 1 1 1 0 1 0 1 0 1 0 0 1 1 0 0 0 0 1 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0
 1 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 1 1 1 0 0 1 1]",361128390,"(68, 11)"
4,Texts,LR,5,0.59,0.5380952380952381,0.5559595959595959,0.6071428571428572,0.6366213151927438,17,21,10,14,"[1 0 1 0 0 1 1 0 0 1 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0
 0 1 1 1 1 0 1 0 1 0 0 1 0 1 0 1 0 0 1 1 0 1 0 1 0]",361128390,"(68, 11)"
5,Texts,LR,6,0.5785714285714285,0.5476190476190477,0.5427472527472528,0.6142857142857143,0.6528344671201814,17,21,10,14,"[1 1 0 0 0 1 1 1 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 1 1 1 1 1 0
 0 1 1 1 0 1 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0]",361128390,"(68, 11)"
6,Texts,LR,7,0.6409523809523809,0.5523809523809523,0.583061383061383,0.6166666666666667,0.6590702947845805,17,21,10,14,"[1 0 0 1 0 0 0 0 1 1 0 0 1 1 1 0 1 1 0 1 0 0 0 0 0 1 1 1 1 0 0 0 1 1 1 0 0
 0 0 1 1 1 1 0 1 1 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0]",361128390,"(68, 11)"
7,Texts,LR,8,0.6390476190476191,0.5428571428571428,0.5774669774669774,0.6071428571428572,0.6454648526077097,17,21,10,14,"[1 0 0 0 1 1 1 1 1 1 0 0 1 0 0 0 0 1 1 0 0 0 1 0 1 0 0 1 1 1 0 0 0 1 0 1 1
 1 1 1 0 0 0 1 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0]",361128390,"(68, 11)"
8,Texts,LR,9,0.6142857142857142,0.5523809523809523,0.5709401709401709,0.6,0.6657596371882086,17,20,11,14,"[0 0 0 1 1 1 1 0 1 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 1 1 1
 0 1 1 1 0 0 1 1 0 1 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0]",361128390,"(68, 11)"
9,Texts,LR,1,0.6185714285714285,0.5523809523809524,0.5752447552447552,0.5976190476190476,0.6464852607709751,17,20,11,14,"[0 1 0 1 0 1 0 0 0 1 1 0 0 0 1 0 1 1 1 0 0 1 1 0 1 0 1 0 1 0 0 0 1 0 1 0 1
 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 1 1 1 1 1 0 0 0 1 1]",25678624,"(68, 11)"
10,Texts,LR,2,0.6438095238095238,0.5428571428571428,0.575024975024975,0.5928571428571429,0.5732426303854875,17,20,11,14,"[1 0 1 0 0 1 0 0 1 0 1 1 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 1 0 1
 0 0 0 1 0 1 1 0 1 0 0 1 1 0 1 1 0 1 1 1 0 1 1 0 0]",25678624,"(68, 11)"
11,Texts,LR,3,0.5866666666666667,0.5571428571428572,0.5706293706293706,0.5880952380952381,0.5904761904761905,17,19,12,14,"[1 1 0 1 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 0 1 1 1 0 0 0 1 1 1 0
 1 0 1 1 0 0 0 1 0 1 0 1 0 1 1 0 1 0 0 0 1 0 0 1 0]",25678624,"(68, 11)"
12,Texts,LR,4,0.5755555555555556,0.5333333333333333,0.5440909090909091,0.5880952380952381,0.6436507936507937,17,20,11,14,"[0 1 1 1 1 1 1 1 0 1 1 1 1 0 0 0 0 1 0 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0
 0 1 1 1 0 0 0 1 0 0 1 1 0 0 0 0 1 1 0 0 0 1 1 0 1]",25678624,"(68, 11)"
13,Texts,LR,5,0.5657142857142857,0.5095238095238095,0.5294305694305694,0.5761904761904761,0.6373015873015874,16,20,11,15,"[1 0 0 0 0 1 0 1 1 0 1 0 1 1 0 0 0 1 1 1 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0
 0 1 0 0 1 1 0 1 1 1 1 1 0 0 1 0 0 1 0 0 0 1 0 0 1]",25678624,"(68, 11)"
14,Texts,LR,6,0.62,0.5476190476190477,0.5712398712398712,0.5976190476190476,0.6472789115646259,17,20,11,14,"[0 1 1 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1 1 1 0 1 0 1 0 1 0 1 0 1 0 0 0 1 0 1 1
 0 1 0 1 1 1 0 1 0 0 0 0 1 0 0 0 0 1 1 0 1 0 1 1 0]",25678624,"(68, 11)"
15,Texts,LR,7,0.6642857142857143,0.5523809523809524,0.5852014652014652,0.6023809523809524,0.6301587301587303,17,20,11,14,"[1 0 1 1 1 0 0 1 0 1 0 0 0 1 0 1 0 1 0 0 0 0 1 1 1 1 1 0 0 0 1 1 0 0 0 0 0
 1 1 1 1 0 1 0 1 0 0 1 1 0 0 0 1 1 0 0 0 0 1 0 1 0]",25678624,"(68, 11)"
16,Texts,LR,8,0.6116666666666667,0.5095238095238095,0.5490909090909091,0.5785714285714285,0.6373015873015873,16,20,11,15,"[1 1 0 1 1 0 0 0 1 1 0 1 1 0 1 0 1 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 1 1 1 0 0
 1 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 1 0]",25678624,"(68, 11)"
17,Texts,LR,9,0.6361111111111111,0.4761904761904762,0.4838095238095238,0.5619047619047619,0.653968253968254,15,20,11,16,"[0 0 1 1 1 1 1 0 0 0 1 1 0 0 1 1 1 0 1 1 1 1 1 0 0 1 0 1 1 1 0 0 0 0 1 0 0
 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 1 0 0 0]",25678624,"(68, 11)"
18,Texts,LR,1,0.6214285714285714,0.5809523809523809,0.5912087912087912,0.6142857142857143,0.6665532879818594,18,20,11,13,"[0 1 1 0 0 1 0 0 1 0 0 1 1 1 0 1 1 1 1 0 1 1 0 1 0 1 0 0 0 0 1 0 1 0 0 0 1
 0 1 1 0 0 1 0 0 0 0 0 1 0 1 1 0 1 0 0 1 1 1 0 0 1]",286227372,"(68, 11)"
19,Texts,LR,2,0.6077777777777778,0.5523809523809524,0.5618181818181818,0.5952380952380952,0.6510204081632653,17,20,11,14,"[0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 1 1 0 0 1 1 1 0 1 0 0 0 1 1 0
 0 1 0 0 0 0 1 1 1 0 0 0 1 1 1 1 1 1 1 1 0 1 1 0 0]",286227372,"(68, 11)"
20,Texts,LR,3,0.5894444444444444,0.5428571428571428,0.5458369408369409,0.580952380952381,0.6335600907029478,17,19,12,14,"[1 1 0 1 0 1 0 1 0 0 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 1 1 1 1 1
 0 0 0 0 1 0 1 1 0 1 1 0 1 0 1 1 0 0 1 0 0 0 0 0 1]",286227372,"(68, 11)"
21,Texts,LR,4,0.6128571428571429,0.5428571428571428,0.571948051948052,0.5928571428571429,0.6454648526077098,17,20,11,14,"[1 0 1 1 1 0 0 1 1 0 0 0 1 0 1 0 1 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 0
 1 1 0 1 0 1 0 0 0 0 1 1 1 1 1 0 1 0 0 0 1 1 0 1 0]",286227372,"(68, 11)"
22,Texts,LR,5,0.6183333333333333,0.5904761904761905,0.5974025974025974,0.6190476190476191,0.6275510204081632,18,20,11,13,"[0 0 1 0 1 0 1 1 0 1 0 0 0 0 1 0 1 0 1 1 0 0 0 1 0 1 1 0 0 1 0 1 1 1 0 0 0
 1 1 0 1 0 1 1 0 0 0 1 1 1 0 0 0 1 1 0 1 0 1 0 0 1]",286227372,"(68, 11)"
23,Texts,LR,6,0.6009523809523809,0.5476190476190476,0.57004329004329,0.5976190476190476,0.6405895691609977,17,20,11,14,"[1 1 0 1 0 0 1 0 0 0 0 0 1 1 1 1 1 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 1 1 1 0 0
 1 1 1 0 1 0 0 0 0 1 0 0 1 1 1 0 0 1 0 1 0 0 1 1 0]",286227372,"(68, 11)"
24,Texts,LR,7,0.645,0.5523809523809524,0.5775890775890775,0.6,0.6557823129251701,17,20,11,14,"[0 1 1 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 1 1 0 1 0 0
 1 1 1 1 0 0 0 0 0 1 1 1 0 1 1 1 1 1 1 1 0 0 1 0 0]",286227372,"(68, 11)"
25,Texts,LR,8,0.5933333333333333,0.5380952380952381,0.543073593073593,0.5928571428571429,0.6421768707482993,17,20,11,14,"[1 0 0 1 1 1 1 0 0 1 1 0 1 1 0 0 0 1 0 0 1 0 1 1 0 1 0 0 1 0 1 0 0 0 1 1 0
 1 0 1 0 0 0 1 1 0 0 0 0 1 1 1 1 0 1 0 0 0 0 1 0 0]",286227372,"(68, 11)"
