,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Texts,NB,1,0.6333333333333333,0.4857142857142857,0.5448329448329448,0.6,0.6257369614512471,15,22,9,16,"[0 1 0 1 1 0 0 1 0 1 1 0 0 0 0 1 1 0 0 0 1 0 1 0 1 1 0 1 0 0 0 0 0 1 0 0 1
 0 1 1 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 1 1 0 0 0 1 0]",361128390,"(68, 11)"
1,Texts,NB,2,0.5726984126984127,0.6571428571428571,0.6009307359307359,0.5571428571428572,0.6489795918367347,20,14,17,11,"[0 1 1 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 1 1 1 0 0 1 1 1 1 0
 0 1 1 0 1 1 1 1 1 0 0 1 1 0 1 1 1 1 1 1 1 0 1 1 1]",361128390,"(68, 11)"
2,Texts,NB,3,0.5923809523809525,0.6190476190476191,0.5967365967365967,0.5666666666666667,0.6709750566893424,19,16,15,12,"[0 0 0 1 0 0 0 0 1 1 1 1 0 1 0 1 1 0 0 0 1 1 0 1 0 1 0 0 1 1 0 0 0 0 1 1 1
 0 1 1 1 0 1 0 0 1 0 1 1 1 1 0 1 1 1 0 1 1 0 1 1 1]",361128390,"(68, 11)"
3,Texts,NB,4,0.5771428571428572,0.6142857142857143,0.5926806526806526,0.5833333333333334,0.6727891156462585,19,17,14,12,"[1 0 1 0 0 1 1 1 0 1 1 1 1 1 1 0 0 0 0 0 0 1 0 1 1 0 0 0 1 1 0 1 1 1 0 0 1
 1 1 1 0 0 0 1 1 0 1 0 1 1 0 0 1 1 1 0 0 0 1 1 0 0]",361128390,"(68, 11)"
4,Texts,NB,5,0.5051948051948052,0.7142857142857143,0.570266106442577,0.4976190476190476,0.7002267573696146,22,9,22,9,"[0 1 1 1 1 0 0 0 0 1 1 0 1 1 0 0 0 1 0 0 1 0 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0]",361128390,"(68, 11)"
5,Texts,NB,6,0.5433766233766233,0.738095238095238,0.620814479638009,0.5619047619047619,0.678798185941043,23,12,19,8,"[1 1 0 1 0 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 0 0 0 1 1 1 0 1 1
 1 1 1 0 0 0 1 0 1 0 1 0 1 0 1 1 1 1 1 0 1 1 1 0 0]",361128390,"(68, 11)"
6,Texts,NB,7,0.5785353535353536,0.8095238095238095,0.6673669467787114,0.5976190476190476,0.7291383219954649,25,12,19,6,"[0 1 1 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 1 1 1 0 0 1 0 1 1 1 0 1 1 0 1 0 0 1
 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1]",361128390,"(68, 11)"
7,Texts,NB,8,0.5771367521367521,0.8666666666666667,0.6904761904761906,0.6142857142857143,0.7284580498866213,27,11,20,4,"[1 1 1 1 1 0 1 1 1 1 1 1 0 1 0 0 1 1 1 1 1 1 1 0 0 1 1 1 1 0 1 1 0 1 0 0 1
 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 1 1 0 1 1 0 1]",361128390,"(68, 11)"
8,Texts,NB,9,0.5624242424242424,0.8095238095238095,0.6488235294117647,0.6,0.6873015873015873,25,12,19,6,"[0 0 0 1 1 0 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 1 1 1 0 0 0 0 0 0 0 1 1 0 1
 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1]",361128390,"(68, 11)"
9,Texts,NB,1,0.6416666666666666,0.44285714285714284,0.5111111111111111,0.5952380952380952,0.6939909297052154,14,23,8,17,"[0 1 1 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0 1 0 1 0 0 1 0 0 1 0 1 0
 1 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1]",25678624,"(68, 11)"
10,Texts,NB,2,0.5209090909090909,0.6095238095238096,0.5438383838383838,0.5023809523809524,0.5668934240362812,19,12,19,12,"[1 0 1 1 1 0 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1 0 1 1 0 0 1 0 1 1 1 0 1
 1 1 1 1 0 0 1 0 1 1 0 0 0 1 0 0 1 0 0 1 1 0 0 0 1]",25678624,"(68, 11)"
11,Texts,NB,3,0.5053968253968254,0.6428571428571428,0.5610703022467728,0.5166666666666667,0.6569160997732426,20,12,19,11,"[1 1 0 1 1 1 0 1 0 1 1 1 0 1 1 1 1 0 0 1 0 0 1 1 0 0 1 1 1 1 0 0 0 1 1 0 0
 0 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 0 0 1 1 1 0 0]",25678624,"(68, 11)"
12,Texts,NB,4,0.4777777777777778,0.6190476190476191,0.5177045177045178,0.5,0.6657596371882086,19,12,19,12,"[0 1 1 0 0 0 0 0 1 1 1 1 0 0 1 0 1 0 1 0 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1
 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1 0 0 0 0 1 1 0 0 0 0]",25678624,"(68, 11)"
13,Texts,NB,5,0.5202020202020202,0.7047619047619047,0.5826437752134346,0.5333333333333333,0.6235827664399093,22,11,20,9,"[1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 0 0 0 0
 1 1 0 0 1 1 1 0 1 1 1 1 0 1 1 0 0 1 0 1 0 0 0 0 1]",25678624,"(68, 11)"
14,Texts,NB,6,0.5309090909090909,0.7142857142857143,0.5976903488668195,0.5333333333333333,0.6587301587301587,22,11,20,9,"[1 0 0 0 1 0 0 1 1 0 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 0 0 1 0 1
 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 0 0 1 1]",25678624,"(68, 11)"
15,Texts,NB,7,0.5411111111111111,0.7142857142857143,0.6131652661064426,0.5547619047619048,0.571655328798186,22,12,19,9,"[0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 0 1 1 1 0 1 1 0 1 1 1 0 1 0 1
 0 0 0 0 1 0 1 1 1 1 0 0 1 1 1 1 0 1 0 0 1 1 1 0 1]",25678624,"(68, 11)"
16,Texts,NB,8,0.5568253968253969,0.6857142857142857,0.6037878787878788,0.5523809523809524,0.5723356009070295,21,13,18,10,"[1 1 0 1 1 1 0 1 1 0 0 0 0 0 0 1 1 0 1 1 1 1 0 1 0 1 1 1 0 1 1 0 1 1 1 0 1
 1 1 0 0 1 1 1 0 1 0 0 0 0 1 1 1 0 1 1 1 1 1 1 1 0]",25678624,"(68, 11)"
17,Texts,NB,9,0.45876623376623377,0.6428571428571429,0.5298265460030166,0.44523809523809527,0.4850340136054422,20,8,23,11,"[1 1 1 0 1 1 0 0 0 0 1 1 1 0 0 1 0 1 0 1 1 0 0 0 0 1 1 1 1 1 0 0 1 1 1 1 1
 0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1]",25678624,"(68, 11)"
18,Texts,NB,1,0.66,0.4952380952380952,0.5618181818181818,0.6214285714285714,0.6634920634920635,15,23,8,16,"[1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 0 0 1 0 1 1 0 0 0 0 0 0 1 0 1
 1 0 0 1 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 1 0 0 1 1]",286227372,"(68, 11)"
19,Texts,NB,2,0.475,0.5761904761904761,0.5095951107715814,0.48333333333333334,0.6439909297052154,18,12,19,13,"[1 1 1 0 1 0 1 1 1 1 1 1 0 0 0 1 0 1 0 0 0 0 0 1 1 0 1 0 1 1 1 1 0 1 1 1 1
 0 1 1 0 0 0 0 0 1 1 1 0 1 0 0 1 1 0 1 1 1 0 1 1 1]",286227372,"(68, 11)"
20,Texts,NB,3,0.47757575757575754,0.6095238095238095,0.5053968253968254,0.46904761904761905,0.6510204081632653,19,10,21,12,"[1 1 1 1 1 0 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 1 1 1 0 1 1 1 0
 0 1 1 1 1 1 1 0 0 0 1 1 0 1 0 0 0 1 0 0 0 1 0 0 0]",286227372,"(68, 11)"
21,Texts,NB,4,0.42738095238095236,0.5428571428571428,0.47635531135531134,0.41428571428571426,0.5154195011337868,17,9,22,14,"[1 1 1 1 0 0 0 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 1 1 0 0 1 1 1 1 1 0 0 0 0 1 1
 1 1 0 0 1 1 1 0 1 0 1 0 1 0 0 1 1 1 1 0 0 1 1 1 1]",286227372,"(68, 11)"
22,Texts,NB,5,0.540079365079365,0.7095238095238096,0.6086331212647001,0.5380952380952381,0.6276643990929706,22,11,20,9,"[0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 0 0 1 1 0 1 1 1 0 1 1 0 1 1 1 0 0 1
 1 0 1 0 0 1 0 1 0 1 0 1 0 1 1 1 1 1 1 0 1 1 1 0 1]",286227372,"(68, 11)"
23,Texts,NB,6,0.5888888888888889,0.7714285714285715,0.6596491228070176,0.6,0.6580498866213152,24,13,18,7,"[0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 0 0 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1
 0 0 1 0 1 1 0 0 1 1 0 0 1 0 0 1 0 1 1 0 0 0 1 1 1]",286227372,"(68, 11)"
24,Texts,NB,7,0.5790909090909091,0.7476190476190476,0.6321288515406163,0.5833333333333334,0.7201814058956917,23,13,18,8,"[1 1 0 1 1 0 1 0 1 1 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 1 1 1 1 1 1 0 1 0 1
 1 1 0 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0]",286227372,"(68, 11)"
25,Texts,NB,8,0.568051948051948,0.7428571428571429,0.6260053671818377,0.5595238095238095,0.7232426303854875,23,12,19,8,"[1 1 0 0 0 0 1 0 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 0 0 0 0 0 1 1
 1 1 1 1 0 1 0 1 0 0 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1]",286227372,"(68, 11)"
26,Texts,NB,9,0.5253968253968254,0.780952380952381,0.6255279034690799,0.5380952380952381,0.5775510204081633,24,9,22,7,"[1 1 1 0 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 0 0 1 1 1 1 1 1 1
 1 0 1 1 1 0 0 1 1 1 0 1 0 1 1 0 1 0 1 1 1 1 0 1 1]",286227372,"(68, 11)"
27,Texts,NB,1,0.6942857142857143,0.4857142857142857,0.5485314685314685,0.6142857142857143,0.6346938775510205,15,23,8,16,"[0 1 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1
 1 0 1 0 1 1 1 0 1 0 1 0 0 1 0 1 0 0 1 0 1 0 1 0 0]",275413183,"(68, 11)"
28,Texts,NB,2,0.6,0.5714285714285714,0.5557530189109137,0.55,0.6077097505668934,18,16,15,13,"[1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 1 1 1 0 1 0
 0 1 1 1 0 1 1 1 0 0 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0]",275413183,"(68, 11)"
29,Texts,NB,3,0.4567099567099567,0.6047619047619047,0.5113962508080155,0.4761904761904762,0.5899092970521542,19,11,20,12,"[0 1 1 1 1 1 0 0 1 0 0 1 1 1 0 1 1 1 1 1 0 1 0 1 1 1 0 1 0 1 1 1 1 0 1 1 1
 1 1 0 1 1 1 1 0 0 1 0 1 1 0 1 0 1 0 1 0 0 0 1 0 0]",275413183,"(68, 11)"
30,Texts,NB,4,0.44380952380952376,0.4857142857142857,0.4569230769230769,0.4142857142857143,0.5094104308390023,15,11,20,16,"[0 1 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 1 1 1 1 0 1 1 0 1 1 1 0 0 1 1 1 1
 1 1 1 1 1 0 1 0 0 1 1 1 0 0 0 1 1 0 1 1 1 1 0 0 0]",275413183,"(68, 11)"
31,Texts,NB,5,0.5371428571428571,0.7714285714285715,0.6282388663967611,0.5333333333333333,0.6543083900226757,24,9,22,7,"[1 1 1 1 1 1 1 0 0 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 0 0 0 1 1 0 1 0 0 1 1 1 1
 0 0 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1]",275413183,"(68, 11)"
32,Texts,NB,6,0.5533333333333333,0.7428571428571429,0.6259803921568627,0.5666666666666667,0.6639455782312925,23,12,19,8,"[0 1 1 0 1 1 1 1 1 1 1 0 1 0 0 1 1 0 0 0 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1
 0 1 1 1 0 1 0 1 1 1 1 1 0 1 1 0 1 1 1 1 0 0 0 0 1]",275413183,"(68, 11)"
33,Texts,NB,7,0.6073015873015873,0.8095238095238095,0.6888461538461539,0.6476190476190476,0.7343537414965986,25,15,16,6,"[1 1 1 1 0 0 1 1 1 1 0 1 0 0 0 0 1 1 0 0 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1 0 1
 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 0 1 0 0 1 0 0 1 1]",275413183,"(68, 11)"
34,Texts,NB,8,0.6103968253968254,0.7428571428571429,0.6623690035454741,0.6166666666666667,0.7057823129251701,23,15,16,8,"[1 1 1 1 0 1 1 0 1 0 1 0 1 1 0 0 1 0 0 1 1 0 1 0 1 1 1 1 0 0 1 1 1 1 1 1 1
 0 1 1 1 0 0 1 1 0 0 1 1 0 1 0 1 1 0 1 0 1 0 1 0 1]",275413183,"(68, 11)"
35,Texts,NB,9,0.5731746031746031,0.7761904761904762,0.6559340659340659,0.5952380952380952,0.6306122448979592,24,13,18,7,"[0 1 0 1 1 0 0 0 1 1 1 1 1 0 1 0 0 1 1 1 1 0 0 1 1 1 0 1 0 1 1 0 0 1 1 1 0
 1 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0]",275413183,"(68, 11)"
36,Texts,NB,1,0.699047619047619,0.5142857142857142,0.5836208236208236,0.6261904761904762,0.6510204081632653,16,23,8,15,"[0 0 0 1 0 1 1 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 1 1 1 0 0 0 0 1 0 1 0 1 0 0 0
 1 0 1 0 1 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 1 0 1]",835799483,"(68, 11)"
37,Texts,NB,2,0.6172222222222222,0.6142857142857143,0.6052813852813853,0.6023809523809524,0.6272108843537415,19,18,13,12,"[1 1 1 0 1 1 0 0 1 1 0 1 0 0 1 1 1 0 0 1 1 0 0 0 1 0 1 0 1 1 1 1 0 0 1 0 0
 0 0 0 0 1 1 0 1 0 0 0 1 1 1 1 0 0 0 1 0 1 0 1 1 1]",835799483,"(68, 11)"
38,Texts,NB,3,0.6142857142857143,0.6523809523809524,0.57420814479638,0.55,0.7142857142857143,20,14,17,11,"[0 0 1 0 0 0 0 1 0 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 0 1 0 1 1 1 0
 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 1 1 0 1 1 1 1 1 1 1]",835799483,"(68, 11)"
39,Texts,NB,4,0.47555555555555556,0.6095238095238096,0.5250713012477718,0.4666666666666667,0.5835600907029479,19,10,21,12,"[1 1 0 1 0 1 1 0 1 1 1 1 0 1 1 0 0 1 0 0 1 0 1 0 0 0 1 0 0 1 1 0 0 1 0 1 1
 1 1 0 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 0 1 1 1]",835799483,"(68, 11)"
40,Texts,NB,5,0.5057142857142857,0.7428571428571429,0.599240465416936,0.5166666666666666,0.6780045351473923,23,9,22,8,"[1 0 1 1 1 1 1 0 1 0 1 1 1 0 1 1 1 1 0 1 1 0 1 0 1 1 0 1 1 1 0 0 1 1 1 1 1
 1 1 1 0 1 1 0 1 0 0 0 1 1 1 1 1 0 1 1 1 0 1 1 1 1]",835799483,"(68, 11)"
41,Texts,NB,6,0.55,0.7428571428571429,0.6102661064425771,0.5333333333333333,0.7113378684807257,23,10,21,8,"[1 1 1 0 1 1 0 0 1 0 1 1 1 0 0 1 1 0 1 0 1 0 0 0 1 0 0 1 0 0 1 1 1 1 1 1 1
 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0]",835799483,"(68, 11)"
42,Texts,NB,7,0.5826984126984127,0.8333333333333334,0.6809581646423751,0.611904761904762,0.722108843537415,26,12,19,5,"[1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 0 1 0 1 1 1
 0 1 1 0 1 0 1 1 1 0 1 1 0 1 1 1 1 0 1 0 1 0 0 0 1]",835799483,"(68, 11)"
43,Texts,NB,8,0.551948051948052,0.8380952380952381,0.6606241281937876,0.5666666666666667,0.6899092970521542,26,9,22,5,"[0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 0 1 1 0 0 0 1 1 0 1 1 0 0 0 1 1 1 1
 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1]",835799483,"(68, 11)"
44,Texts,NB,9,0.5292929292929293,0.8047619047619048,0.6364145658263305,0.5476190476190477,0.672108843537415,25,9,22,6,"[1 0 0 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1
 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 0 1 0 0 1 1 1 1 0]",835799483,"(68, 11)"
45,Texts,NB,1,0.655952380952381,0.47619047619047616,0.5126373626373626,0.5738095238095238,0.6758503401360545,15,21,10,16,"[0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 1
 0 0 0 1 0 1 0 1 1 1 0 1 1 0 1 0 0 0 0 1 1 0 1 1 1]",650031229,"(68, 11)"
46,Texts,NB,2,0.6187301587301587,0.680952380952381,0.6392274392274392,0.611904761904762,0.6869614512471656,21,17,14,10,"[1 1 1 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 1 1 1 1 0 1 0 0 1 1 0 1 0 1 1 1
 0 1 1 1 0 1 1 0 1 1 1 1 0 0 1 1 1 1 0 1 0 0 1 1 1]",650031229,"(68, 11)"
47,Texts,NB,3,0.5801587301587301,0.7428571428571429,0.6306410256410256,0.5809523809523809,0.6791383219954649,23,13,18,8,"[1 0 1 1 1 0 0 1 1 1 0 0 1 1 0 1 0 1 0 1 1 1 1 0 0 0 1 0 1 0 1 1 0 0 0 1 0
 1 0 1 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1]",650031229,"(68, 11)"
48,Texts,NB,4,0.5344877344877345,0.738095238095238,0.6183150183150183,0.5476190476190477,0.6410430839002268,23,11,20,8,"[0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 1 0 0 1 1 1 0 1 1 0 1
 1 0 0 1 0 1 1 1 0 1 0 1 1 0 1 1 1 1 1 0 1 0 1 1 0]",650031229,"(68, 11)"
