,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Texts,RF2,1,0.6823809523809524,0.6857142857142857,0.6758574758574758,0.680952380952381,0.728344671201814,21,21,10,10,"[0 1 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 1 1 1 1 0 1 1 1 1 0 0 0 1 1 0 1 1 1
 0 0 0 0 0 1 1 0 1 1 0 1 0 1 1 0 1 1 0 0 0 1 1 0 1]",361128390,"(68, 11)"
1,Texts,RF2,2,0.6928571428571428,0.5714285714285714,0.5916239316239316,0.6571428571428571,0.6439909297052154,18,23,8,13,"[1 0 1 1 0 1 1 0 1 0 0 1 0 1 1 0 1 1 0 0 1 1 1 0 1 0 0 0 1 0 1 1 0 1 1 1 0
 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1]",361128390,"(68, 11)"
2,Texts,RF2,3,0.67,0.5476190476190476,0.5836363636363636,0.5904761904761905,0.7260204081632654,17,20,11,14,"[1 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 0 0 1 0 0 0 1 1 1 0 1 0
 0 1 0 0 0 0 1 0 0 1 0 1 0 0 1 1 0 1 0 1 0 1 0 0 0]",361128390,"(68, 11)"
3,Texts,RF2,4,0.6733333333333333,0.5523809523809524,0.59004329004329,0.6142857142857143,0.6409297052154196,17,21,10,14,"[0 0 1 0 1 0 1 1 0 0 1 0 0 0 1 1 0 1 1 1 1 1 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0
 0 0 1 0 1 0 1 1 1 0 0 0 1 1 0 1 0 1 1 0 0 1 0 0 0]",361128390,"(68, 11)"
4,Texts,RF2,5,0.655,0.580952380952381,0.6052813852813853,0.6261904761904762,0.659297052154195,18,21,10,13,"[1 0 0 1 0 0 1 0 0 1 0 0 0 1 1 1 0 1 1 1 1 1 0 1 1 0 0 0 0 1 0 0 0 1 0 0 1
 1 1 1 0 1 0 0 1 0 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 1]",361128390,"(68, 11)"
5,Texts,RF2,6,0.7057142857142857,0.5428571428571428,0.5891275391275391,0.6595238095238095,0.657482993197279,17,24,7,14,"[0 1 1 0 0 1 1 1 0 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0
 0 1 1 1 1 0 1 1 1 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0]",361128390,"(68, 11)"
6,Texts,RF2,7,0.6333333333333333,0.5428571428571428,0.5665359477124183,0.5833333333333334,0.6217120181405895,17,19,12,14,"[1 1 1 1 1 0 1 0 0 1 1 1 0 1 0 1 0 1 0 0 1 0 1 0 1 1 1 1 0 1 0 0 0 0 1 1 0
 0 0 1 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1]",361128390,"(68, 11)"
7,Texts,RF2,8,0.6965079365079365,0.6761904761904762,0.6601981351981352,0.6476190476190476,0.7291383219954649,21,19,12,10,"[1 1 1 1 1 0 1 0 1 0 1 0 1 1 1 0 0 1 0 0 1 0 1 1 1 0 1 0 1 0 1 1 0 1 0 1 1
 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 1 1 1 1]",361128390,"(68, 11)"
8,Texts,RF2,9,0.5142857142857142,0.5857142857142857,0.545054945054945,0.5166666666666667,0.6039682539682539,18,14,17,13,"[0 1 0 1 0 0 0 0 1 1 0 1 0 1 1 0 0 1 1 1 1 1 1 1 1 0 0 0 0 1 0 0 1 1 1 1 0
 0 0 1 1 1 1 1 1 0 1 0 0 0 0 1 1 0 1 1 1 1 0 1 0 1]",361128390,"(68, 11)"
9,Texts,RF2,1,0.845,0.6857142857142857,0.7398268398268398,0.7642857142857142,0.7685374149659864,21,26,5,10,"[0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 1 0 1 1 0 0 1 1 1 0 0 1 1
 1 0 1 1 1 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0]",25678624,"(68, 11)"
10,Texts,RF2,2,0.7144444444444444,0.5761904761904761,0.6207575757575757,0.6476190476190476,0.6331632653061224,18,22,9,13,"[0 1 1 1 1 0 1 1 0 1 1 0 1 1 1 0 0 0 1 1 0 1 0 0 1 0 0 0 0 1 1 0 1 0 0 1 0
 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 1 0 0 0]",25678624,"(68, 11)"
11,Texts,RF2,3,0.5809523809523809,0.5714285714285714,0.5664102564102564,0.5928571428571429,0.7290249433106576,18,19,12,13,"[0 0 1 0 1 0 1 1 1 0 1 1 1 1 1 1 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1
 0 1 1 1 1 0 0 1 0 0 1 1 1 0 1 1 1 0 1 1 0 0 0 0 1]",25678624,"(68, 11)"
12,Texts,RF2,4,0.6161111111111112,0.6904761904761905,0.6428571428571429,0.6357142857142857,0.7410997732426304,21,18,13,10,"[1 0 0 0 1 0 0 0 0 0 1 1 0 1 0 1 1 0 1 1 1 1 1 0 1 0 1 1 0 1 0 1 0 1 1 0 1
 1 1 1 1 0 1 1 0 0 0 0 1 0 1 0 1 0 1 0 0 1 0 1 1 1]",25678624,"(68, 11)"
13,Texts,RF2,5,0.685952380952381,0.680952380952381,0.675024975024975,0.6761904761904762,0.7551020408163266,21,21,10,10,"[0 0 0 1 0 0 0 0 0 1 1 0 1 1 0 1 1 0 1 0 0 1 1 0 1 0 1 1 0 0 0 1 0 1 0 1 0
 1 1 1 0 1 1 0 1 1 1 1 1 0 1 1 0 0 1 0 0 0 1 1 0 0]",25678624,"(68, 11)"
14,Texts,RF2,6,0.6119047619047618,0.6476190476190475,0.622124542124542,0.6309523809523809,0.6392857142857143,20,19,12,11,"[0 0 1 0 0 0 1 1 1 1 1 0 0 0 1 0 1 0 1 0 0 1 0 1 0 0 1 1 0 1 0 0 0 0 0 1 1
 1 1 1 1 1 1 0 0 0 0 1 1 1 0 1 1 0 0 0 1 1 1 0 1 1]",25678624,"(68, 11)"
15,Texts,RF2,7,0.5571428571428572,0.6571428571428571,0.5967948717948718,0.5714285714285714,0.6924036281179139,20,15,16,11,"[0 0 0 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 0 1 0 1 1 0 0 1 0 0 1 0 1 1 0 1 1 1 1
 1 0 0 0 1 0 1 1 1 0 1 1 0 0 1 0 1 0 1 1 0 1 1 1 1]",25678624,"(68, 11)"
16,Texts,RF2,8,0.5821428571428572,0.6095238095238096,0.592074592074592,0.5952380952380952,0.6565759637188209,19,18,13,12,"[1 0 0 0 1 0 1 1 1 1 1 0 1 1 0 0 0 0 0 0 1 1 1 1 1 1 0 1 1 0 1 1 0 1 0 0 1
 0 1 0 1 1 0 1 0 1 1 0 0 0 1 0 0 1 0 1 1 0 1 0 0 0]",25678624,"(68, 11)"
17,Texts,RF2,9,0.75,0.638095238095238,0.66,0.6904761904761905,0.7183106575963718,20,23,8,11,"[0 1 0 0 1 0 1 1 1 0 0 0 1 0 0 1 1 1 0 0 1 1 1 0 1 1 0 0 0 0 1 0 0 1 0 0 0
 0 0 0 1 1 0 0 1 1 1 1 0 0 0 1 0 1 0 0 0 1 1 1 1 0]",25678624,"(68, 11)"
18,Texts,RF2,1,0.7595238095238095,0.638095238095238,0.6734421134421134,0.7238095238095238,0.752154195011338,20,25,6,11,"[1 0 1 1 1 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 1 1 1 1 0 0 0 1
 0 0 1 0 0 0 0 1 1 1 0 0 1 0 0 1 1 1 0 0 0 1 0 0 0]",286227372,"(68, 11)"
19,Texts,RF2,2,0.71,0.5904761904761905,0.619105339105339,0.680952380952381,0.646655328798186,18,24,7,13,"[0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 1 1 0 0 0 1 1 0 1 1 1 1 1 1 1 0 1
 0 1 1 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 1 0 0]",286227372,"(68, 11)"
