,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Texts,RF2,1,0.45999999999999996,0.3619047619047619,0.40020202020202017,0.49047619047619045,0.5469954648526077,11,19,12,20,"[1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 1 1 0 1 1 0 1 0 1 0 1 0 0 0 1 0 1 0 1 0 0
 1 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 1 0]",361128390,"(68, 11)"
1,Texts,RF2,2,0.655,0.5523809523809524,0.5878921078921079,0.6166666666666667,0.6703514739229025,17,21,10,14,"[1 0 1 1 0 1 1 0 1 0 0 0 0 0 1 1 1 0 0 0 1 1 1 0 1 0 1 0 0 0 1 1 0 0 0 0 0
 0 0 0 1 0 1 1 0 1 0 1 0 0 1 1 0 1 0 0 0 1 0 1 1 0]",361128390,"(68, 11)"
2,Texts,RF2,3,0.7323076923076923,0.638095238095238,0.6533333333333333,0.6523809523809524,0.7322562358276644,20,20,11,11,"[1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 0 1 0 1 1 1 0 1 1 0 0 1 0 0 1 0 0 0 1 1 1
 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1]",361128390,"(68, 11)"
3,Texts,RF2,4,0.5857142857142857,0.5857142857142857,0.5771428571428572,0.5857142857142857,0.6227891156462585,18,18,13,13,"[1 0 0 0 1 1 0 1 1 0 1 1 0 0 1 1 1 1 1 0 1 0 0 0 0 0 1 1 0 0 1 1 1 0 1 0 0
 0 1 0 1 0 0 0 1 1 0 1 1 0 0 1 1 1 0 0 0 1 0 0 1 1]",361128390,"(68, 11)"
4,Texts,RF2,5,0.5704761904761905,0.49047619047619045,0.5096503496503496,0.5642857142857143,0.6162698412698413,15,20,11,16,"[0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 1 1 0 1 0 1 0 1 1 1 1 0 0 0 0 1 1 0 0 1 0 0
 1 1 0 0 1 0 0 0 1 1 0 1 1 0 1 0 0 0 0 1 0 0 0 1 1]",361128390,"(68, 11)"
5,Texts,RF2,6,0.7666666666666666,0.6095238095238095,0.6733333333333333,0.7047619047619047,0.7547619047619047,19,25,6,12,"[0 0 0 0 1 1 0 1 0 1 1 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0
 1 1 0 0 1 0 1 0 1 0 1 1 1 0 0 1 1 1 1 0 0 0 0 1 0]",361128390,"(68, 11)"
6,Texts,RF2,7,0.7277777777777777,0.6095238095238096,0.6297619047619047,0.6476190476190476,0.7013605442176871,19,21,10,12,"[1 1 0 0 1 1 0 1 1 0 0 0 0 0 1 0 1 1 0 1 1 0 0 0 1 0 1 1 0 0 1 0 1 0 1 1 1
 0 1 0 0 0 1 0 0 1 1 0 1 0 1 0 0 0 1 1 0 1 1 0 0 0]",361128390,"(68, 11)"
7,Texts,RF2,8,0.6828571428571428,0.6428571428571429,0.661038961038961,0.6761904761904762,0.7367346938775511,20,22,9,11,"[0 1 0 0 0 1 1 1 1 0 0 1 0 0 0 1 0 1 0 1 1 1 0 0 1 1 0 0 1 0 0 0 1 0 1 0 1
 0 1 1 0 0 0 1 0 0 1 1 0 1 0 1 0 0 0 1 1 0 1 1 1 0]",361128390,"(68, 11)"
8,Texts,RF2,9,0.6714285714285714,0.7095238095238096,0.6871794871794871,0.6738095238095239,0.735997732426304,22,20,11,9,"[1 0 0 0 1 0 1 1 0 0 0 1 0 1 0 1 0 0 1 1 1 1 1 0 0 0 0 0 1 0 1 1 1 1 0 1 1
 0 1 0 0 1 0 1 1 0 1 0 0 1 0 1 1 1 0 0 1 0 1 1 1 1]",361128390,"(68, 11)"
9,Texts,RF2,1,0.5585714285714286,0.5476190476190476,0.5443756243756244,0.5476190476190477,0.6020975056689343,17,17,14,14,"[1 1 1 0 0 1 0 1 0 0 0 1 0 1 1 1 0 1 1 1 1 1 0 1 0 1 1 1 1 0 0 0 1 0 0 1 1
 0 1 1 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 1 1 0 0]",25678624,"(68, 11)"
