,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Texts,SVC1,1,0.6761904761904762,0.47619047619047616,0.5428571428571428,0.6595238095238095,0.6384353741496599,15,26,5,16,"[0 1 1 1 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 1
 1 0 0 1 1 0 0 0 1 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0]",361128390,"(68, 11)"
1,Texts,SVC1,2,0.7,0.49047619047619045,0.5622222222222222,0.6309523809523809,0.607936507936508,15,24,7,16,"[1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 1 0 1 1 1 0 0 0 1 0 1 0 0 0 0 0
 0 0 1 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 0 0 0 1 0 0]",361128390,"(68, 11)"
2,Texts,SVC1,3,0.6766666666666666,0.4857142857142857,0.5567676767676767,0.6285714285714286,0.6139455782312925,15,24,7,16,"[0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0 1 0 1 1 0 0
 1 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 0 1 0 1 0 0 1 0 1]",361128390,"(68, 11)"
3,Texts,SVC1,4,0.715,0.5238095238095238,0.5749783549783549,0.6357142857142857,0.639795918367347,16,23,8,15,"[0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 1 0 0 1 0 0 1 0 1 0 1 1 0 0 1 1 1 1 0 1 1 1
 1 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0]",361128390,"(68, 11)"
4,Texts,SVC1,5,0.6542857142857142,0.5523809523809524,0.5921678321678322,0.6142857142857143,0.6265306122448979,17,21,10,14,"[0 1 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 1 1 0 1 0 1 0 0 0 0 1 1 1 1 0 0 0 0 0 1
 0 0 1 1 1 0 0 0 1 0 0 1 1 1 1 1 1 1 0 1 0 1 0 0 0]",361128390,"(68, 11)"
5,Texts,SVC1,6,0.5844444444444444,0.5476190476190477,0.547070707070707,0.5666666666666667,0.6116780045351474,17,18,13,14,"[1 1 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 0 0 0 1 1 0 1 0 1 0 0 1 1 0 0 0 0
 1 0 1 0 1 1 0 0 0 0 0 1 1 0 1 0 0 1 0 1 1 1 1 0 1]",361128390,"(68, 11)"
6,Texts,SVC1,7,0.6373015873015873,0.5761904761904761,0.5795238095238096,0.6261904761904762,0.6168934240362812,18,21,10,13,"[1 1 0 1 0 1 1 0 0 1 0 1 0 1 0 0 1 1 1 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1
 0 1 1 1 1 0 0 0 0 1 1 0 1 1 0 0 1 1 1 0 0 0 0 0 0]",361128390,"(68, 11)"
7,Texts,SVC1,8,0.539047619047619,0.5809523809523809,0.5431623931623931,0.5619047619047619,0.6142857142857143,18,17,14,13,"[0 0 0 1 1 1 0 0 1 1 0 1 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 1 0
 1 0 0 1 1 0 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1]",361128390,"(68, 11)"
8,Texts,SVC1,9,0.5848051948051948,0.5857142857142857,0.5607568901686548,0.5619047619047619,0.6602040816326531,18,17,14,13,"[0 1 0 0 0 1 0 1 1 0 0 1 1 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 0 0
 1 1 1 0 1 0 1 0 1 0 0 1 1 0 0 1 0 0 1 1 0 1 1 1 1]",361128390,"(68, 11)"
9,Texts,SVC1,1,0.7142857142857143,0.41428571428571426,0.5109523809523809,0.6142857142857143,0.6306122448979592,13,25,6,18,"[1 1 0 0 1 1 0 0 0 1 0 0 1 0 0 1 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1]",25678624,"(68, 11)"
10,Texts,SVC1,2,0.5933333333333334,0.4523809523809524,0.5044289044289044,0.6,0.6017006802721089,14,23,8,17,"[0 0 1 1 0 0 0 1 0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0
 0 0 1 0 1 0 0 1 0 0 1 1 0 1 1 0 0 0 1 1 1 1 0 0 0]",25678624,"(68, 11)"
11,Texts,SVC1,3,0.5976190476190476,0.4809523809523809,0.5186324786324786,0.5666666666666667,0.5798185941043084,15,20,11,16,"[0 1 0 1 1 0 1 0 1 0 0 0 1 0 0 1 0 1 0 1 1 1 0 0 1 0 0 1 0 1 0 0 1 0 1 0 0
 1 0 0 1 1 0 0 1 0 0 1 1 0 1 1 0 0 0 1 1 0 0 0 0 0]",25678624,"(68, 11)"
12,Texts,SVC1,4,0.66,0.4476190476190476,0.48919080919080915,0.5642857142857143,0.6320861678004536,14,21,10,17,"[0 1 0 1 1 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 1 0 0 1 0 1
 0 1 1 0 0 0 1 1 0 1 0 0 0 1 0 0 1 1 0 0 0 0 1 0 1]",25678624,"(68, 11)"
