,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Texts,SVC2,1,0.6209523809523809,0.5857142857142856,0.5988344988344988,0.6142857142857143,0.6976190476190477,18,20,11,13,"[1 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 1 1 0 0 0 1 1 0 1 0 1 1 0 1 1 0
 1 1 1 0 0 1 1 0 0 1 0 0 0 1 1 1 0 1 0 0 1 1 0 1 0]",361128390,"(68, 11)"
1,Texts,SVC2,2,0.5565079365079365,0.6142857142857142,0.5776623376623377,0.5476190476190477,0.6443310657596372,19,15,16,12,"[0 0 1 1 0 1 0 0 1 0 1 1 1 0 0 0 1 0 1 1 0 1 1 1 1 1 0 0 1 1 0 1 0 0 0 1 1
 1 1 0 1 1 0 1 1 1 1 1 0 0 1 1 0 1 0 0 0 1 1 1 0 0]",361128390,"(68, 11)"
2,Texts,SVC2,3,0.5685714285714285,0.5809523809523809,0.571002331002331,0.5666666666666667,0.642063492063492,18,17,14,13,"[0 1 0 1 0 0 1 1 1 1 0 0 1 0 1 1 1 0 1 0 0 1 0 1 1 1 0 1 1 1 0 0 1 0 0 0 1
 0 1 1 0 1 0 0 1 1 0 1 1 0 1 0 1 1 0 0 0 0 1 0 0 1]",361128390,"(68, 11)"
3,Texts,SVC2,4,0.5325757575757576,0.5904761904761905,0.5427552839317545,0.5166666666666667,0.6149659863945578,18,14,17,13,"[0 0 0 1 1 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 1 1 0 0 1 1 1 1 0 1 0 0 0 1 1
 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1]",361128390,"(68, 11)"
4,Texts,SVC2,5,0.6011111111111112,0.580952380952381,0.5781818181818181,0.5833333333333334,0.6142857142857142,18,18,13,13,"[1 0 0 1 0 1 0 0 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0
 0 0 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1]",361128390,"(68, 11)"
5,Texts,SVC2,6,0.5076190476190476,0.5809523809523809,0.5340259740259741,0.530952380952381,0.6905895691609978,18,15,16,13,"[1 0 1 1 1 0 0 0 1 1 0 0 0 1 0 1 1 1 1 1 1 0 1 0 1 0 0 1 1 0 1 0 0 1 0 0 1
 1 0 1 1 1 1 0 1 1 0 1 1 0 0 1 0 1 1 0 0 0 0 0 1 1]",361128390,"(68, 11)"
6,Texts,SVC2,7,0.5792857142857143,0.5571428571428572,0.5568431568431568,0.5833333333333334,0.6557823129251701,17,19,12,14,"[0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 1 1 0 1 1 1 0 1 1 1 0 1 1 0 0 1 0 1
 0 1 0 1 0 0 1 0 1 0 0 1 1 0 0 1 0 0 0 1 0 0 1 1 1]",361128390,"(68, 11)"
7,Texts,SVC2,8,0.5376623376623376,0.6142857142857143,0.5603572897690544,0.5476190476190477,0.6595238095238095,19,15,16,12,"[0 0 0 1 1 1 1 1 0 1 0 0 1 1 1 0 1 1 1 1 1 1 0 1 1 0 0 0 1 1 1 1 0 0 1 0 0
 0 1 1 0 1 1 1 1 1 1 0 0 0 0 1 0 0 0 1 0 1 1 0 0 1]",361128390,"(68, 11)"
8,Texts,SVC2,9,0.6152380952380953,0.6142857142857142,0.6116550116550116,0.611904761904762,0.6309523809523809,19,19,12,12,"[1 1 1 0 1 1 0 0 0 0 1 0 0 1 1 0 0 0 1 0 1 0 1 1 1 0 0 0 0 1 1 1 0 1 1 1 0
 0 1 1 0 0 0 0 1 0 1 0 0 1 0 1 0 0 1 1 1 0 1 1 1 0]",361128390,"(68, 11)"
9,Texts,SVC2,1,0.6242857142857143,0.5476190476190476,0.5797402597402597,0.5976190476190476,0.6502267573696145,17,20,11,14,"[0 1 1 0 0 1 1 1 0 1 1 0 0 1 0 1 1 0 0 1 0 1 0 0 0 1 1 1 0 0 1 0 0 0 0 0 1
 0 1 0 1 0 1 0 0 0 1 0 0 1 1 0 1 1 0 0 1 0 1 1 0 0]",25678624,"(68, 11)"
