,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Texts,kNN3,1,0.61,0.6523809523809524,0.6245754245754245,0.6166666666666667,0.6331632653061224,20,18,13,11,"[0 0 1 1 0 0 0 0 0 1 1 0 1 0 1 1 1 0 0 0 0 1 0 0 1 1 1 0 0 1 1 1 0 1 1 1 0
 0 0 1 1 0 1 1 0 1 0 0 0 1 1 1 0 1 1 1 1 0 0 1 1 1]",361128390,"(68, 11)"
1,Texts,kNN3,2,0.6580952380952381,0.6761904761904762,0.6647685647685647,0.6595238095238095,0.6975056689342404,21,20,11,10,"[0 0 1 0 1 0 1 0 0 1 1 0 0 1 0 0 1 0 0 1 1 0 1 1 0 1 1 1 1 0 1 0 1 0 1 1 0
 0 1 0 0 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 1 1 1 1]",361128390,"(68, 11)"
2,Texts,kNN3,3,0.6877777777777778,0.6523809523809524,0.6545454545454545,0.6619047619047619,0.7156462585034014,20,21,10,11,"[0 1 0 0 0 0 1 1 0 0 0 0 1 1 1 1 1 1 0 0 1 1 1 0 1 0 1 1 0 1 0 1 1 0 0 0 1
 1 1 0 0 0 0 0 0 0 0 1 1 1 1 0 0 1 0 0 0 1 1 0 1 1]",361128390,"(68, 11)"
3,Texts,kNN3,4,0.6642857142857143,0.6476190476190475,0.6398046398046398,0.6619047619047619,0.6461451247165533,20,21,10,11,"[0 0 0 0 1 0 1 1 1 1 0 1 0 1 0 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 1 1 0 0 0
 1 0 0 1 1 1 1 0 1 1 1 1 1 0 0 0 1 1 0 0 1 1 1 1 0]",361128390,"(68, 11)"
4,Texts,kNN3,5,0.7097619047619047,0.7142857142857143,0.705094905094905,0.7119047619047619,0.7415532879818594,22,22,9,9,"[1 0 0 0 0 1 1 1 0 1 0 0 1 1 0 0 1 0 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 1 1 0 1
 1 0 1 0 1 1 1 0 1 0 1 1 1 1 0 1 0 1 0 0 0 1 0 0 1]",361128390,"(68, 11)"
5,Texts,kNN3,6,0.7897619047619048,0.7095238095238096,0.73006993006993,0.7452380952380953,0.7491496598639457,22,24,7,9,"[1 1 0 1 0 0 1 1 1 0 0 1 0 1 1 1 0 1 1 1 0 0 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0
 0 1 0 1 0 1 0 1 1 0 0 0 0 1 0 1 1 1 0 0 1 1 0 0 0]",361128390,"(68, 11)"
6,Texts,kNN3,7,0.7390476190476191,0.7142857142857143,0.7216783216783216,0.7285714285714285,0.7709750566893424,22,23,8,9,"[1 1 0 1 1 0 0 1 1 1 1 0 1 1 0 0 0 1 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 1 1
 1 1 0 1 0 1 0 0 0 1 1 1 0 0 1 1 1 0 0 0 0 0 1 0 1]",361128390,"(68, 11)"
7,Texts,kNN3,8,0.7083333333333334,0.680952380952381,0.6859340659340659,0.6952380952380952,0.7165532879818595,21,22,9,10,"[1 1 0 0 0 0 1 1 0 1 1 0 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 1 0 1 0 1
 0 1 0 1 1 1 0 0 1 1 1 1 0 0 0 0 0 1 0 1 0 1 0 1 1]",361128390,"(68, 11)"
8,Texts,kNN3,9,0.7095238095238096,0.7476190476190476,0.7225641025641025,0.7333333333333333,0.7602040816326531,23,22,9,8,"[0 1 1 0 1 1 1 1 1 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1
 1 1 0 1 0 1 1 0 0 1 0 1 1 0 0 1 0 1 0 0 1 0 1 0 1]",361128390,"(68, 11)"
9,Texts,kNN3,1,0.6023809523809524,0.5476190476190476,0.5536352536352536,0.5904761904761905,0.5569160997732426,17,20,11,14,"[1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 1 0 1 1 1 0 1 1 1 0 1 1 1 1 0 0 1 1 0
 1 0 0 0 1 0 0 0 1 1 1 1 1 0 1 0 0 0 0 0 0 0 1 1 0]",25678624,"(68, 11)"
